track_id,year,key,key_confidence,time_signature,time_signature_confidence,mode,mode_confidence,end_of_fade_in,start_of_fade_out,energy,duration,danceability,tempo,loudness,top100
TRAZTBZ128F4274A59,2008,4,0.78,4,0.776,1,0.672,0,240.17,0,249.49506,0,148.902,-5.285,yes
TRAZSDN128F42B65CD,2001,8,0.314,4,1,0,0.298,0.078,278.953,0,290.01098,0,97.039,-3.209,yes
TRAIMRN128E0791E72,2002,2,0.158,4,0,1,0.41,0.242,222.273,0,237.58322,0,126.214,-5.987,yes
TRAIAXU128F428BCE1,2009,11,0.209,4,0.809,1,0.343,0.607,222.691,0,231.6273,0,73.348,-14.977,yes
TRAINIF128F426416B,2000,10,0.495,4,0.611,0,0.5,2.014,229.883,0,236.2771,0,103.997,-2.801,yes
TRAIPST128F9302AE9,2009,5,1,4,0.722,0,0.89,0.473,373.696,0,397.60934,0,131.955,-7.038,yes
TRAILFA128EF349FE5,2007,9,0.203,3,1,0,0.516,3.181,254.258,0,256.83546,0,86.624,-6.787,yes
TRAIVZI128F42642DE,2000,11,0.505,3,1,0,0.518,2.798,165.75,0,173.5571,0,86.693,-5.47,yes
TRAAMRE128F4298E7D,2006,7,0.464,4,0.951,1,0.74,0,224.194,0,236.90404,0,93.956,-7.19,yes
TRAAGCZ128F93210FD,2004,11,0.205,4,1,0,0.332,0,213.664,0,229.61587,0,105.206,-4.882,yes
TRAARHS128F931689D,2008,4,0.49,4,0.198,1,0.469,0.206,267.685,0,284.3424,0,151.953,-6.546,yes
TRANHYE128F92DE232,2008,5,0.989,4,0.335,1,0.676,2.101,234.185,0,245.36771,0,160.786,-4.536,yes
TRANZLM128F92F741E,2006,6,0.495,4,0.421,0,0.524,0.376,238.051,0,244.50567,0,139.304,-3.925,yes
TRANAAU128F92E9228,2009,0,0.111,4,0.669,1,0.227,0,403.969,0,413.04771,0,127.839,-6.258,yes
TRANNZZ128F92C22F7,2007,11,0.617,1,0,0,0.619,0.136,246.404,0,254.1971,0,127.952,-3.773,yes
TRANPBI128F9313477,2005,1,0.753,4,0.573,1,0.531,0.211,169.767,0,172.72118,0,191.968,-5.844,yes
TRANEIV128F92E3AA6,2006,10,0.531,4,0.51,0,0.558,0.078,236.339,0,245.52444,0,149.931,-6.523,yes
TRANKVW12903D021E1,2009,1,0.675,3,0.492,1,0.457,0.183,275.255,0,308.89751,0,127.072,-7.028,yes
TRAPNAO128F9309815,2008,2,0.035,4,0.292,1,0.296,0,214.465,0,214.46485,0,134.031,-3.829,yes
TRAPTOE128F4272000,2006,2,0.358,4,1,1,0.36,0.403,243.212,0,249.39057,0,125.328,-6.124,yes
TRAPDCB128F42824A6,2004,7,0.537,4,0,1,0.608,2.38,185.278,0,196.12689,0,99.909,-6.224,yes
TRATDKN128E078EDB3,2000,1,0.015,4,0.505,0,0.271,0.276,279.847,0,292.25751,0,174.651,-2.274,yes
TRAUWRW128F9358C69,2003,5,0.037,4,1,1,0.308,0.165,246.399,0,259.05587,0,104.123,-4.73,yes
TRAUGFL128F9343241,2000,0,0.243,4,1,0,0.421,0.258,234.196,0,245.86404,0,122.018,-7.439,yes
TRAUHFI128F9326238,2007,11,0.328,4,0.313,0,0.416,0.27,109.906,0,112.06485,0,140.034,-7.732,yes
TRAUXNG128F933AA28,2004,10,0.662,5,1,1,0.675,0.159,231.137,0,240.56118,0,74.747,-10.835,yes
TRALMBM128F92EAA15,2007,5,0.236,5,0.496,0,0.376,2.072,359.625,0,368.92689,0,131.991,-7.562,yes
TRALIEV128F92DE23C,2006,4,0.365,4,0.623,0,0.451,0.107,232.2,0,245.78567,0,167.97,-4.954,yes
TRALLSG128F425A685,2003,5,0.433,4,0.784,1,0.533,2.543,236.083,0,240.03873,0,85.055,-6.836,yes
TRALJBT128F4266FD8,2001,6,0.334,4,1,0,0.357,0.177,211.565,0,211.56526,0,104.796,-1.81,yes
TRAEWXY128E0786183,2004,11,0.134,4,0.362,0,0.231,0,444.418,0,451.44771,0,130.013,-4.833,yes
TRAECBR128F429F8C0,2003,0,0.452,3,0,0,0.522,2.926,194.769,0,206.81098,0,85.331,-3.738,yes
TRAERWQ128F92C2024,2005,3,0.835,4,0.427,1,0.726,0.328,221.901,0,233.63873,0,140.153,-3.382,yes
TRAEZLQ128F427F954,2006,9,0.14,4,0.62,1,0.633,1.332,261.265,0,268.95628,0,106.002,-6.621,yes
TRAENGY128F4272846,2003,2,0.58,4,0.27,1,0.658,0.305,200.133,0,212.89751,0,147.928,-6.986,yes
TRAEUIW12903D018F0,2010,2,1,4,1,1,0.706,0.334,179.664,0,196.20526,0,107.042,-7.045,yes
TRAELQO128F42AC767,2004,0,0.954,4,0.878,1,0.691,0,243.786,0,255.4771,0,97.488,-6.816,yes
TRAEJFS128F92DE220,2008,5,0.771,4,0.241,1,0.664,1.048,232.072,0,243.35628,0,100.086,-4.576,yes
TRAJGAB12903CCBA42,2001,5,0.554,4,0.832,1,0.489,0.089,242.962,0,256.9922,0,167.864,-6.918,yes
TRAJRIT128F92F4352,2008,11,0.322,4,0,0,0.324,0,286.772,0,286.77179,0,147.979,-4.04,yes
TRAJSOD128F9339CD6,2008,9,0.616,4,0.514,1,0.5,0.142,174.306,0,178.65098,0,103.988,-4.298,yes
TRASGVG128F92E8E0F,2008,10,0.572,4,0.506,1,0.601,0.171,250.247,0,258.14159,0,94.128,-6.319,yes
TRASHZB128E0791E81,2001,4,0.33,4,0.796,1,0.372,0,253.678,0,271.62077,0,91.003,-7.493,yes
TRASBVS12903CF4537,2003,7,0.55,4,0,1,0.566,2.31,212.643,0,231.18322,0,118.273,-8.414,yes
TRASBJU128F9324EFA,2001,5,0.649,4,0.404,0,0.604,0.369,256.644,0,269.37424,0,124.021,-11.027,yes
TRAVJHK128E078370B,2004,10,0.006,4,1,1,0.33,0.124,257.701,0,270.10567,0,99.914,-7.553,yes
TRAVVLI128F92F7053,2003,11,0.272,4,0.986,0,0.185,0.121,189.26,0,196.46649,0,94.38,-4.927,yes
TRADMUH128F146D3CD,2003,7,0.766,4,0.785,1,0.474,0.363,259.692,0,271.25506,0,166.037,-5.227,yes
TRADCDD128F1494A23,2007,8,0.746,4,0.445,1,0.654,1.03,186.967,0,201.19465,0,123.774,-11.998,yes
TRADDXS12903CEDB38,2007,11,0.021,4,0,0,0.309,0,283.872,0,283.8722,0,128.092,-4.465,yes
TRADODV128F4283EB6,2004,6,0.113,4,1,0,0.233,3.355,207.128,0,224.62649,0,103.433,-5.627,yes
TRAOGAZ128F42B7FFC,2006,11,0.106,4,0,1,0.333,0,250.746,0,269.76608,0,130.065,-7.477,yes
TRAOGHG12903CA3B89,2008,11,0.294,5,1,1,0.233,0,301.697,0,309.83791,0,126.955,-5.692,yes
TRAODGF128F92F3FF9,2007,0,0.652,4,0.17,1,0.509,0.189,517.613,0,530.12853,0,130.012,-5.432,yes
TRAXIDM128F42AAF9E,2004,0,0.569,4,1,1,0.624,2.821,267.006,0,281.05098,0,119.904,-8.538,yes
TRAXJHG128F427EA02,1999,7,0.621,4,0.509,1,0.789,0,278.648,0,278.64771,0,94.084,-5.206,yes
TRAXVGE128E0783F1D,2004,0,0.354,4,0,1,0.073,0,213.24,0,225.41016,0,136.044,-3.683,yes
TRAKIME128F92F148D,2004,5,1,4,0.811,1,0.746,0.09,221.588,0,243.66975,0,89.985,-6.07,yes
TRAKDJO128E07811D8,2004,11,0.78,3,0.017,0,0.678,0.131,388.197,0,425.22077,0,120.017,-6.304,yes
TRAKYTI128C7196464,2001,4,0.154,3,0.383,0,0.095,0,196.725,0,198.81751,0,72.007,-5.837,yes
TRAYUXO12903C99CBF,2008,11,0.395,4,0.739,1,0.477,0,226.209,0,240.56118,0,151.983,-6.093,yes
TRAYSMO128F9318E7C,2009,3,0.222,4,0.79,1,0.437,0.148,213.502,0,227.082,0,140.577,-5.432,yes
TRBMRAI128F427B204,2008,3,0.231,3,0.252,1,0.396,1.112,203.598,0,209.71057,0,80.07,-6.441,yes
TRBMAIL128F930842F,2008,4,0.708,4,0.718,1,0.57,0.16,172.054,0,181.18485,0,147.626,-4.997,yes
TRBMKVF128E0789440,2005,0,0.006,4,0.501,1,0.296,0.34,259.042,0,263.05261,0,100.038,-5.773,yes
TRBMYNB128F92EF1F4,2008,7,0.357,5,0.168,1,0.483,0,295.213,0,306.33751,0,103.564,-10.351,yes
TRBWNTC128F9309A59,2004,6,0.489,4,0.72,1,0.536,7.396,297.186,0,301.71383,0,118.26,-6.708,yes
TRBGMZJ128F42BC17E,2006,10,0.695,7,0.883,0,0.651,0.404,205.793,0,215.01342,0,145.918,-3.671,yes
TRBGCQP128F92E36CB,2008,1,0.514,4,0.666,1,0.492,2.583,161.437,0,169.32526,0,163.746,-12.206,yes
TRBGRXO128F4282115,2003,10,0.598,4,0.882,1,0.637,0.078,268.011,0,277.002,0,180.073,-12.316,yes
TRBGASN128F427BF8F,2002,5,0.673,4,0.132,0,0.595,2.972,212.213,0,224.39138,0,93.95,-5.229,yes
TRBGNCL128F428F56F,2006,0,0.278,4,0,1,0.396,0.287,284.549,0,294.19057,0,124.517,-6.805,yes
TRBGJDW128F4292EDB,2003,7,0.267,3,1,0,0.324,0.177,253.498,0,255.99955,0,113.485,-6.155,yes
TRBGDYO12903D11B4C,2008,5,0.424,7,0.811,1,0.519,0.2,208.457,0,211.09506,0,127.472,-12.041,yes
TRBHMTJ128E079911B,2005,1,0.247,4,0,1,0.427,0,234.516,0,250.04363,0,198.672,-4.01,yes
TRBHBSN128F427164E,2007,8,0.332,4,0.252,1,0.452,0.09,188.732,0,193.88036,0,131.971,-3.455,yes
TRBHFNJ128F428B3B4,2003,1,0.57,4,1,1,0.203,3.001,228.884,0,228.88444,0,150.388,-4.731,yes
TRBHLDQ128F423EF10,2005,1,0.704,4,0.76,1,0.521,6.513,156.479,0,160.31302,0,152.785,-9.385,yes
TRBHJXD128F14628B5,2002,10,0.784,4,0.45,1,0.775,0.102,240.152,0,257.25342,0,117.998,-10.294,yes
TRBHYPZ128F42639B0,2006,0,0.832,4,0.942,1,0.634,0,236.983,0,254.1971,0,85.004,-12.454,yes
TRBCHPT128F425E20D,2007,0,0.621,4,0.78,1,0.573,0,216.05,0,224.88771,0,146.775,-3.701,yes
TRBCBEU128F92C2F02,2001,1,0.375,4,0.054,1,0.435,0.142,266.977,0,279.43138,0,90.054,-2.97,yes
TRBCFQK12903CA5CE2,2009,8,0.497,4,0.847,0,0.537,0.092,216.456,0,222.61506,0,143.81,-4.206,yes
TRBCIRO128F42B0277,2002,8,0.481,4,0,1,0.394,0.287,227.637,0,236.95628,0,139.99,-3.924,yes
TRBRMAC128F92C1D08,2006,1,0.124,4,0,0,0.319,0.09,232.705,0,237.21751,0,140.021,-5.374,yes
TRBRBHN128F429DDEF,2008,2,0.128,4,1,1,0.53,0,238.788,0,240.97914,0,91.997,-4.402,yes
TRBRNAX128F9311245,2007,11,0.701,4,0.937,0,0.574,0.067,510.398,0,527.0722,0,132.009,-5.576,yes
TRBRTTV128F933AF4C,2006,1,0.012,4,0.772,1,0.356,3.111,177.772,0,191.11138,0,120.025,-7.694,yes
TRBBTJL128F9311B15,2008,0,0.653,4,0.035,0,0.514,0,210.625,0,210.62485,0,127.8,-6.155,yes
TRBBSGI128F9309855,2008,2,0.439,4,0.47,1,0.524,0.119,208.538,0,214.33424,0,160.109,-4.469,yes
TRBBDAH128F92E625E,2001,7,0.572,4,0.163,1,0.219,0.243,172.159,0,174.91546,0,191.548,-6.567,yes
TRBFAES12903CE2660,2004,0,0.49,3,0.931,1,0.557,0,226.911,0,236.77342,0,160.085,-5.012,yes
TRBFTBY128F426663E,2001,5,0.638,4,0.861,1,0.482,0.215,245.574,0,260.12689,0,117.413,-10.48,yes
TRBFLXG128F42ADAC5,2006,0,0.419,4,0.768,1,0.277,0.334,179.589,0,196.17914,0,100.011,-4.878,yes
TRBFYNY128F92F8755,2010,10,0.45,4,0.779,0,0.504,0.357,179.601,0,187.14077,0,119.971,-3.659,yes
TRBQIKR128F148BE55,2005,0,0.998,4,0.541,1,0.649,0.223,189.841,0,202.03057,0,139.988,-7.68,yes
TRBQLDO12903CAC207,2004,10,0.543,4,0.932,1,0.482,15.621,240.913,0,255.39873,0,97.005,-5.456,yes
TRBQDIQ128E07914D8,2005,11,0,3,0.182,0,0,0.119,404.753,0,409.15546,0,128.025,-6.079,yes
TRBZGSM128E078EDB4,2002,4,0.272,4,0.964,1,0.282,0.206,246.161,0,251.55873,0,126.219,-8.929,yes
TRBZFCH128F428871D,2003,6,0.619,4,1,1,0.71,0,251.205,0,257.77587,0,122.004,-5.413,yes
TRBZZUT128F92DD82D,2009,9,0,4,0.597,1,0.236,0.34,205.131,0,211.56526,0,144.992,-4.334,yes
TRBZVAU128F932DC28,2000,0,0.628,4,0.647,1,0.56,0,218.093,0,227.47383,0,98.741,-2.179,yes
TRBIGJK128E0783FCB,2004,5,0.358,4,0.256,1,0.225,0.178,232.083,0,239.49016,0,173.967,-8.413,yes
TRBIEIZ128F148D778,2005,7,0.569,4,0.859,1,0.578,2.014,242.707,0,247.64036,0,81.53,-5.597,yes
TRBIDGR128F932FC6C,2008,1,0.599,4,0.5,1,0.255,0.276,220.433,0,223.42485,0,138.901,-5.156,yes
TRBIKAA128F42AEAED,2005,0,0.564,4,0.299,0,0.637,0.392,278.721,0,283.48036,0,100.069,-8.709,yes
TRBAGOS128F93098C7,2008,7,0.488,4,0.722,1,0.499,0,219.846,0,219.84608,0,161.982,-3.546,yes
TRBAHID128F4278EAF,2001,7,0.085,4,0.269,1,0.218,2.363,221.977,0,224.522,0,179.486,-5.823,yes
TRBAZFD12903CB641D,2009,2,0.749,4,0,1,0.854,0.481,218.424,0,233.79546,0,89.665,-8.023,yes
TRBAUVN128F932FEF8,2000,11,0.479,4,0.141,1,0.549,0.282,207.865,0,211.01669,0,95.066,-5.205,yes
TRBASRX12903C9FDA8,2005,0,0.487,4,0.294,0,0.537,0,207.163,0,217.62567,0,164.025,-4.278,yes
TRBAXMR128F14623A4,2003,1,0.664,4,0.721,1,0.414,0.102,209.74,0,226.5073,0,119.051,-4.838,yes
TRBAYFP128F1454204,2003,11,0.044,5,1,1,0.272,0.2,290.911,0,304.19546,0,121.107,-5.35,yes
TRBNCNL128F145FC80,2001,0,0.255,4,0.331,1,0.635,0.421,248.726,0,259.83955,0,142.135,-7.455,yes
TRBNLBX128F92CB2B5,2008,0,0.79,4,0.672,1,0.722,0.073,194.897,0,204.9824,0,155.732,-5.048,yes
TRBNKEI128F422EC4B,2007,4,0,3,1,1,0.308,0.189,237.848,0,241.03138,0,86.752,-5.722,yes
TRBNYBX128F422EC61,2005,2,0.382,4,0.573,1,0.498,1.036,225.257,0,232.202,0,104.378,-9.047,yes
TRBPMBV128F92E8F2A,2008,9,0.644,4,0,0,0.505,0,309.139,0,318.30159,0,126.976,-4.64,yes
TRBPWVZ128F4214A7E,2004,0,0.673,4,0.844,1,0.697,0.078,228.995,0,237.40036,0,155.987,-4.848,yes
TRBPBYN12903CC78B0,2010,5,0.657,4,0.588,1,0.506,0.096,196.36,0,207.5424,0,120.019,-8.52,yes
TRBPNHC128F428A346,2001,6,0.216,5,0.433,0,0.439,0.181,166.626,0,179.3824,0,83.888,-7.531,yes
TRBPPRR128F429AFB5,2001,3,0.385,4,0.725,0,0.43,0.206,198.351,0,209.03138,0,125.047,-6.303,yes
TRBPDLR128F92C5DD7,2008,9,0,4,0,0,0.175,0,210.059,0,219.97669,0,132.013,-3.755,yes
TRBPKMI128F92E6F37,2008,9,0.463,4,0.826,0,0.4,0.154,230.104,0,236.64281,0,124.972,-5.568,yes
TRBTWJK128EF366021,2005,5,0,4,0.162,0,0.207,2.537,192.232,0,197.32853,0,141.988,-5.196,yes
TRBTRAD128F42A964C,2004,0,0.58,4,0.069,1,0.552,0.305,186.387,0,197.14567,0,131.011,-4.766,yes
TRBTIZV128F92F2ABA,2008,1,0,4,0.591,0,0.162,0.966,200.139,0,207.33342,0,94.026,-4.73,yes
TRBTNPR12903D13765,2009,0,0.712,5,0.203,1,0.609,0,220.044,0,228.23138,0,131.088,-4.042,yes
TRBTUOU128F42B01C3,2006,0,0.271,4,0.483,1,0.503,0.351,232.438,0,245.9424,0,119.854,-7.347,yes
TRBTVVE128F930EE58,2008,7,0.045,4,0.226,1,0.309,0.129,428.211,0,446.09261,0,130,-5.028,yes
TRBTVET128F42AD778,2004,8,0.183,4,0.447,1,0.391,1.088,209.189,0,220.78649,0,85.427,-5.181,yes
TRBUMSF128F92FFB21,2004,7,0.562,4,0.604,0,0.528,0.392,207.319,0,211.1473,0,53.633,-10.398,yes
TRBUCDV12903CD3762,2000,8,0.361,1,0,1,0.451,0.363,231.653,0,231.65342,0,52.552,-8.323,yes
TRBUCED128F149F6B5,2006,9,0.065,4,0.212,1,0.206,6.838,208.794,0,217.44281,0,99.999,-14.86,yes
TRBUIPK12903CA52AD,2004,1,0.526,4,0.1,1,0.47,2.583,193.457,0,212.4273,0,138.903,-6.239,yes
TRBUTXG128F145FC12,2002,1,0.66,4,0.292,1,0.586,6.415,213.397,0,226.79465,0,77.991,-5.294,yes
TRBULVD128F4293D27,2003,8,0.037,5,0.028,1,0.129,2.914,194.769,0,208.8224,0,85.324,-4.43,yes
TRBUJIM128F1491076,2001,9,0.578,4,1,1,0.442,0,180.349,0,180.34893,0,98.176,-5.45,yes
TRBLANS128F92FD3FF,2002,7,0.647,4,0.786,0,0.804,0,289.704,0,295.47057,0,105.4,-6.695,yes
TRBLNIK128E078889F,2005,7,0.005,4,0.768,1,0.352,0.137,636.877,0,645.17179,0,127.951,-8.273,yes
TRBLNQK128F42149CC,2002,4,0.871,4,0.667,1,0.682,0.176,283.103,0,292.54485,0,120.017,-6.138,yes
TRBLPQA128F425AEED,2006,4,0.297,4,0.632,1,0.463,3.675,195.727,0,208.50893,0,150.044,-4.14,yes
TRBLTFG128F148325C,2006,8,0.627,4,1,1,0.586,0.282,192.818,0,198.39955,0,91.955,-3.997,yes
TRBLUTW128F42BA8E3,2008,11,0.28,4,0.876,0,0.402,0.079,215.504,0,235.96363,0,100.061,-4.983,yes
TRBLVJS128F9336406,2009,4,0.442,4,0.908,1,0.352,0.096,226.168,0,232.9073,0,160.428,-2.631,yes
TRBECNW128F426BE82,2008,11,0.226,4,0.306,0,0.354,0.293,258.357,0,273.52771,0,129.991,-5.558,yes
TRBEFXF128F4263CE9,2002,6,0.477,4,0.832,0,0.44,0.52,294.4,0,310.25587,0,101.746,-6.804,yes
TRBELUD128F92CFCF5,2008,9,0.77,4,1,0,0.634,0.154,223.045,0,233.19465,0,108.014,-6.621,yes
TRBJQDI128E078F973,2000,5,0.485,5,0.545,0,0.561,6.2,340.126,0,347.37587,0,151.059,-10.167,yes
TRBJKEY128F92C25CA,2005,8,0.326,4,0.804,1,0.654,4.058,225.245,0,230.13832,0,117.357,-9.031,yes
TRBSWCE128F42556A1,2008,11,0.121,4,0,1,0.605,0.078,549.82,0,557.92281,0,130.006,-4.025,yes
TRBSHHW128F9310121,2009,8,0.644,1,0,1,0.589,0,320.232,0,327.96689,0,141.966,-6.614,yes
TRBSBBC128F9328DBF,2004,1,0.709,4,0.562,1,0.769,0.131,232.484,0,247.77098,0,139.943,-5.768,yes
TRBSBNC12903CC459E,2009,6,0.975,3,0.793,0,0.78,0.212,225.361,0,227.91791,0,95.119,-8.813,yes
TRBSDAE128F4255F7B,2007,11,0.278,4,0,0,0.355,0.124,478.836,0,485.3024,0,127.983,-3.652,yes
TRBVCHD128F92CFFC1,2008,11,0,4,0.843,0,0.037,0.223,234.022,0,236.72118,0,126.976,-7.851,yes
TRBVQYK128F4272647,2006,11,0.588,4,0.555,0,0.57,0,236.785,0,240.09098,0,137.187,-3.687,yes
TRBVUZS128F427FD44,2008,11,0.745,4,0.907,0,0.572,0.345,226.128,0,232.77669,0,129.037,-4.042,yes
TRBDWDQ128F1455787,2002,10,0.504,4,1,0,0.562,0.194,223.736,0,232.07138,0,143.699,-6.348,yes
TRBDTHG128F932CB9C,2008,10,0.635,4,0.505,1,0.598,0.178,250.247,0,260.67546,0,94.097,-4.666,yes
TRBDUIU128F42727EB,2002,10,0.204,4,0.3,1,0.55,0,254.195,0,263.33995,0,163.717,-4.074,yes
TRBOEAS128F932FE7E,1999,7,0.2,4,0.723,1,0.523,0.433,264.847,0,274.12853,0,150.024,-6.523,yes
TRBXADA128F9316C50,2008,11,0.01,4,0.546,0,0.206,0.236,208.608,0,216.31955,0,127.973,-4.311,yes
TRBXEVB128F92EA080,2004,7,0.643,4,0,1,0.834,0.955,304.791,0,311.61424,0,130.99,-9.399,yes
TRBXXBZ128F9341FE0,2000,0,0.473,4,1,1,0.167,0.165,288.734,0,292.64934,0,95.117,-10.49,yes
TRBKWOC128F9316949,2008,9,0.04,1,0.133,0,0.161,0.148,263.68,0,269.00853,0,130.03,-5.042,yes
TRBKGQY128F9318ECA,2008,7,0.88,4,0.789,1,0.75,0.148,223.875,0,232.54159,0,116.955,-4.459,yes
TRBYZSV128F42B023B,2003,7,0.513,4,0.706,1,0.619,0.131,219.736,0,239.22893,0,84.052,-5.388,yes
TRBYUKF128F92C1D06,2006,6,0.68,4,0.469,0,0.837,0.496,210.222,0,224.23465,0,123.964,-4.14,yes
TRCMRRJ128F428DFD7,2000,5,0.259,4,0.657,0,0.369,0,199.338,0,203.33669,0,118.915,-3.312,yes
TRCMRNV128F42149CF,2003,2,0.814,4,0.87,1,0.806,0.293,215.226,0,227.34322,0,160.081,-5.584,yes
TRCMBYB128F92EDF4A,2005,9,0.461,4,0.776,1,0.566,0.543,261.004,0,267.12771,0,155.952,-3.549,yes
TRCMLCV128F424EACD,2008,0,0.647,4,0.882,0,0.697,0,226.325,0,232.88118,0,97.004,-5.629,yes
TRCWBIU128F933AA56,2008,1,0.438,4,0.188,0,0.588,2.601,209.276,0,216.5024,0,130.067,-3.599,yes
